8462	0.843000
8462	0.827000
14055	3.588000
14055	0.000000
14055	3.572000
14055	0.000000
14055	3.588000
14055	0.000000
14055	3.588000
14055	3.603000
8462	0.827000
8462	0.827000
8462	0.827000
8462	0.842000
8462	0.843000
8462	0.843000
8462	0.827000
8462	0.827000
8462	0.843000
8462	0.827000
8462	0.843000
4034	0.983000
4034	0.983000
8265	0.016000
10568	0.015000
10580	0.000000
4034	0.983000
8265	0.016000
10568	0.016000
10580	0.000000
4034	0.983000
4034	0.967000
4034	0.998000
4034	0.982000
4034	0.998000
4034	0.998000
4034	0.000000
8265	1.420000
8260	0.000000
15584	5.444000
4034	0.000000
8265	1.450000
